repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,167000,https://github.com/tensorflow/tensorflow
transformers,huggingface,67300,https://github.com/huggingface/transformers
pytorch,pytorch,57500,https://github.com/pytorch/pytorch
keras,keras-team,55700,https://github.com/keras-team/keras
scikit-learn,scikit-learn,50800,https://github.com/scikit-learn/scikit-learn
tesseract,tesseract-ocr,46000,https://github.com/tesseract-ocr/tesseract
face_recognition,ageitgey,45200,https://github.com/ageitgey/face_recognition
TensorFlow-Examples,aymericdamien,42100,https://github.com/aymericdamien/TensorFlow-Examples
faceswap,deepfakes,41800,https://github.com/deepfakes/faceswap
julia,JuliaLang,39900,https://github.com/JuliaLang/julia
cs-video-courses,Developer-Y,39800,https://github.com/Developer-Y/cs-video-courses
ML-For-Beginners,microsoft,39800,https://github.com/microsoft/ML-For-Beginners
awesome-scalability,binhnguyennus,39600,https://github.com/binhnguyennus/awesome-scalability
100-Days-Of-ML-Code,Avik-Jain,38000,https://github.com/Avik-Jain/100-Days-Of-ML-Code
DeepFaceLab,iperov,33900,https://github.com/iperov/DeepFaceLab
d2l-zh,d2l-ai,33900,https://github.com/d2l-ai/d2l-zh
caffe,BVLC,32800,https://github.com/BVLC/caffe
Made-With-ML,GokuMohandas,30400,https://github.com/GokuMohandas/Made-With-ML
yolov5,ultralytics,29000,https://github.com/ultralytics/yolov5
machine-learning-for-software-engineers,ZuzooVn,26000,https://github.com/ZuzooVn/machine-learning-for-software-engineers
Coursera-ML-AndrewNg-Notes,fengdu78,25500,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes
handson-ml,ageron,24600,https://github.com/ageron/handson-ml
openpose,CMU-Perceptual-Computing-Lab,24600,https://github.com/CMU-Perceptual-Computing-Lab/openpose
google-research,google-research,24300,https://github.com/google-research/google-research
awesome-deep-learning-papers,terryum,23800,https://github.com/terryum/awesome-deep-learning-papers
spaCy,explosion,23800,https://github.com/explosion/spaCy
data-science-ipython-notebooks,donnemartin,23300,https://github.com/donnemartin/data-science-ipython-notebooks
xgboost,dmlc,23000,https://github.com/dmlc/xgboost
fastai,fastai,22500,https://github.com/fastai/fastai
photoprism,photoprism,21400,https://github.com/photoprism/photoprism
